pubid	SystemNames
477	Личный кабинет ID2
101	Упрощенка
102	Вмененка
103	Главбух
104	Российский налоговый курьер
105	Учет. Налоги. Право
106	Семинар для бухгалтера
107	Зарплата
108	Бухгалтерия ИП
109	Финансовый Директор
110	Кадровое Дело
111	Юрист Компании
112	Учет в учреждении
113	Директор по персоналу
114	Практическое налоговое планирование
115	Учет в строительстве
116	Генеральный директор
117	Арбитражная налоговая практика
118	Учет в туристической деятельности
119	Зарплата в учреждении
120	Арбитражная практика
121	Трудовые споры
122	Уголовный процесс
123	Коммерческий Директор
124	Спутник Главбуха
125	МСФО на практике
126	Налоговед
127	Учет в образовании
128	Учет в сельском хозяйстве
129	Власть
130	Эксперт
131	Деньги
132	Секрет фирмы
133	Справочник специалиста по охране труда
134	Форбс
135	Коммерсантъ
136	Казенные учреждения
137	Учет в производстве
138	Директор школы
139	Практика административной работы в школе
140	Практика управления ДОУ
141	Госзакупки в учреждениях
142	Киоск профессиональных изданий
143	Госзакупки.ру по обе стороны закупок
144	Госзаказ в ВиО
145	Фин справочник бюджетной организации
146	Казенные учреждения
147	Бюджетный учет и отчетность в ВиО
148	Платные услуги учреждения
149	Приложения к журналу «Кадровое Дело»
150	Главная медицинская сестра
151	Правовые вопросы в здравоохранении
152	Здравоохранение
153	Экономика ЛПУ в ВиО
154	Справочник руководителя учреждения культуры
155	Корпоративная школа Главбуха
404	Высшая Школа Главбуха
405	Школа главбуха малого предприятия
406	Школа Зарплатоведа
407	Школа вмененщика
408	Высшая Школа Кадровика
409	Школа Директора по персоналу
410	Высшая Школа Секретаря
411	Школа генерального директора
412	Высшая школа юриста
413	Высшая школа финансового директора
414	Высшая школа тестировщика
476	Профессиональный календарь
477	Личный кабинет ID2
339	Поставщик. Все для тендеров
621	Школа Генерального Директора. Вип-версия
622	Корпоративная налоговая академия
623	Университет бухгалтеров на упрощенке
624	Корпоративный университет Главного врача
625	Практикующий гинеколог
626	Практикующий кардиолог
627	Практикующий терапевт
628	Практикующий педиатр
629	Практикующие психиатр и психолог
630	Высшая школа Промбезопасности
631	Практикующий стоматолог
642	Справочник медсестры
650	Action Digital School
653	Школа БухСофт
654	Академия Т&D
674	Школа фармацевтических специалистов
675	Высшая школа перспективных профессий
676	Школа управления изменениями
677	Школа специалистов КДЛ
678	Корпоративный университет франчайзи
683	"Журнал ""Практикующий офтальмолог"""
684	"Журнал ""Практикующий дерматовенеролог"""
685	"Журнал ""Практикующий невролог"""
686	"Журнал ""Практикующие врачи лучевой и функциональной диагностики"""
688	Высшая школа Юрист компании
687	Высшая школа кадровика
689	Кадровый университет
